,total_income,pl_ratio,profit_count,loss_count,exit_count,sma,ema,sma_len,ema_len,atr_rot,year,expected
0,169135.73440447898,0.6984126984126984,88,38,28,40,150,30,30,3,2023-01-01,
0,222105.1858976144,0.6870229007633588,90,41,15,20,180,25,25,3,2023-01-01,
0,156719.47675483197,0.672,84,41,16,50,170,35,35,3,2023-01-01,
0,171635.61100246455,0.6293706293706294,90,53,9,60,190,40,40,3,2023-01-01,
0,219771.28682154277,0.4416666666666666,159,201,12,40,190,15,15,1,2023-01-01,
0,364336.09954003827,0.5,200,200,6,60,160,20,20,1,2023-01-01,
0,312811.8956360078,0.4551148225469729,218,261,20,30,170,10,10,1,2023-01-01,
0,516128.8723269424,0.4671140939597315,348,397,21,20,150,5,5,1,2023-01-01,
0,155127.00132076006,0.6825396825396826,86,40,20,20,180,25,25,4,2023-01-01,
0,166935.28708916757,0.8073394495412844,88,21,45,40,150,30,30,4,2023-01-01,
0,138693.94587128714,0.6923076923076923,81,36,24,50,170,35,35,4,2023-01-01,
0,123131.57738335872,0.625,80,48,24,60,190,40,40,4,2023-01-01,
0,337970.6012424767,0.5526315789473685,189,153,30,40,190,15,15,2,2023-01-01,
0,439951.95668017666,0.631578947368421,240,140,26,60,160,20,20,2,2023-01-01,
0,455880.31868166977,0.5683297180043384,262,199,38,30,170,10,10,2,2023-01-01,
0,716260.652984669,0.5561959654178674,386,308,72,20,150,5,5,2,2023-01-01,
0,99447.89237709832,0.4850746268656716,65,69,5,40,150,30,35,1,2023-01-01,
0,169523.75587735165,0.5725190839694656,75,56,3,20,180,25,30,1,2023-01-01,
0,80811.98510756697,0.484375,62,66,3,50,170,35,40,1,2023-01-01,
0,451965.1326662303,0.7163323782234957,250,99,57,60,160,20,20,3,2023-01-01,
0,371895.5687507813,0.6410256410256411,200,112,60,40,190,15,15,3,2023-01-01,
0,442996.2551199616,0.6168674698795181,256,159,84,30,170,10,10,3,2023-01-01,
0,678010.365979667,0.6059113300492611,369,240,157,20,150,5,5,3,2023-01-01,
0,154928.708945749,0.6370967741935484,79,45,15,40,150,30,35,2,2023-01-01,
0,241577.08481703975,0.6821705426356589,88,41,5,20,180,25,30,2,2023-01-01,
0,145692.41197487162,0.5983606557377049,73,49,9,50,170,35,40,2,2023-01-01,
0,404539.8226970667,0.7451612903225806,231,79,96,60,160,20,20,4,2023-01-01,
0,280131.3292677044,0.6701388888888888,193,95,84,40,190,15,15,4,2023-01-01,
0,417907.07512712106,0.6767123287671233,247,118,134,30,170,10,10,4,2023-01-01,
0,623434.0915015767,0.6760828625235404,359,172,235,20,150,5,5,4,2023-01-01,
0,165977.58295460802,0.7105263157894737,81,33,25,40,150,30,35,3,2023-01-01,
0,216187.90270331173,0.6829268292682927,84,39,11,20,180,25,30,3,2023-01-01,
0,169140.31576860996,0.6923076923076923,81,36,14,50,170,35,40,3,2023-01-01,
0,336497.8084784226,0.4818941504178273,173,186,6,60,160,20,25,1,2023-01-01,
0,209788.6999535507,0.4457831325301205,148,184,12,40,190,15,20,1,2023-01-01,
0,252463.57703266756,0.4435897435897435,173,217,16,30,170,10,15,1,2023-01-01,
0,445370.9153922818,0.4656862745098039,285,327,19,20,150,5,10,1,2023-01-01,
0,156364.2346280033,0.82,82,18,39,40,150,30,35,4,2023-01-01,
0,151086.30340701333,0.680672268907563,81,38,15,20,180,25,30,4,2023-01-01,
0,133402.15773944827,0.7090909090909091,78,32,21,50,170,35,40,4,2023-01-01,
0,408000.1387076117,0.6172106824925816,208,129,28,60,160,20,25,2,2023-01-01,
0,333399.7402847347,0.5632911392405063,178,138,28,40,190,15,20,2,2023-01-01,
0,385629.6582241908,0.579088471849866,216,157,33,30,170,10,15,2,2023-01-01,
0,619040.2274849451,0.5714285714285714,324,243,64,20,150,5,10,2,2023-01-01,
0,105848.44117451688,0.5079365079365079,64,62,5,40,150,30,40,1,2023-01-01,
0,161696.10057875648,0.56,70,55,2,20,180,25,35,1,2023-01-01,
0,185814.13627838716,0.5324675324675324,123,108,7,50,170,40,5,1,2023-01-01,
0,430226.1724852947,0.7266881028938906,226,85,54,60,160,20,25,3,2023-01-01,
0,355313.38060414465,0.6493055555555556,187,101,56,40,190,15,20,3,2023-01-01,
0,379914.09041148185,0.6404833836858006,212,119,75,30,170,10,15,3,2023-01-01,
0,602607.2046042411,0.6229508196721312,304,184,143,20,150,5,10,3,2023-01-01,
0,158450.924157563,0.6581196581196581,77,40,14,40,150,30,40,2,2023-01-01,
0,239254.587314657,0.7073170731707317,87,36,4,20,180,25,35,2,2023-01-01,
0,200976.4818935998,0.5745614035087719,131,97,10,50,170,40,5,2,2023-01-01,
0,382337.7232343556,0.7545126353790613,209,68,88,60,160,20,25,4,2023-01-01,
0,257234.199600137,0.6554307116104869,175,92,77,40,190,15,20,4,2023-01-01,
0,359211.1138847714,0.6949152542372882,205,90,111,30,170,10,15,4,2023-01-01,
0,568004.4255515327,0.6894117647058824,293,132,206,20,150,5,10,4,2023-01-01,
0,173065.09480843885,0.7431192660550459,81,28,22,40,150,30,40,3,2023-01-01,
0,213220.6617206412,0.7094017094017094,83,34,10,20,180,25,35,3,2023-01-01,
0,215520.59175420605,0.6325581395348837,136,79,23,50,170,40,5,3,2023-01-01,
0,196343.5890964167,0.4415584415584415,136,172,12,40,190,15,25,1,2023-01-01,
0,372894.41457624,0.5274390243902439,173,155,6,60,160,20,30,1,2023-01-01,
0,214802.91902312232,0.4302325581395348,148,196,15,30,170,10,20,1,2023-01-01,
0,383493.687173197,0.4634146341463415,247,286,18,20,150,5,15,1,2023-01-01,
0,151062.41647681658,0.8315789473684211,79,16,36,40,150,30,40,4,2023-01-01,
0,150205.16587818775,0.6929824561403509,79,35,13,20,180,25,35,4,2023-01-01,
0,196643.47694638895,0.6683417085427136,133,66,39,50,170,40,5,4,2023-01-01,
0,333044.54599881487,0.5884353741496599,173,121,26,40,190,15,25,2,2023-01-01,
0,414106.0332919562,0.639871382636656,199,112,23,60,160,20,30,2,2023-01-01,
0,365409.45672106853,0.5727272727272728,189,141,29,30,170,10,20,2,2023-01-01,
0,499971.6257383323,0.5530612244897959,271,219,61,20,150,5,15,2,2023-01-01,
0,199307.32336837705,0.5198237885462555,118,109,8,40,150,35,5,1,2023-01-01,
0,162247.33674497198,0.5882352941176471,70,49,2,20,180,25,40,1,2023-01-01,
0,159232.76745337155,0.5099009900990099,103,99,7,50,170,40,10,1,2023-01-01,
0,354350.36161363893,0.6764705882352942,184,88,48,40,190,15,25,3,2023-01-01,
0,409318.86263242125,0.7439446366782007,215,74,45,60,160,20,30,3,2023-01-01,
0,346723.66370239516,0.6193771626297578,179,110,70,30,170,10,20,3,2023-01-01,
0,505992.1137617142,0.6120481927710844,254,161,136,20,150,5,15,3,2023-01-01,
0,234381.5965128476,0.6289592760180995,139,82,14,40,150,35,5,2,2023-01-01,
0,243125.8705758324,0.7264957264957265,85,32,4,20,180,25,40,2,2023-01-01,
0,179237.82955734324,0.5728643216080402,114,85,10,50,170,40,10,2,2023-01-01,
0,266156.3674147437,0.6823529411764706,174,81,65,40,190,15,25,4,2023-01-01,
0,367507.7713993717,0.7615384615384615,198,62,74,60,160,20,30,4,2023-01-01,
0,334139.84276141337,0.7015503875968992,181,77,101,30,170,10,20,4,2023-01-01,
0,482637.3832086069,0.6955307262569832,249,109,193,20,150,5,15,4,2023-01-01,
0,225473.07269207953,0.6521739130434783,135,72,28,40,150,35,5,3,2023-01-01,
0,216531.6364857512,0.7410714285714286,83,29,9,20,180,25,40,3,2023-01-01,
0,188529.98332992627,0.6290322580645161,117,69,23,50,170,40,10,3,2023-01-01,
0,188681.8909863356,0.4375,126,162,12,40,190,15,30,1,2023-01-01,
0,328159.37725473795,0.5171232876712328,151,141,6,60,160,20,35,1,2023-01-01,
0,201420.33222953317,0.440625,141,179,15,30,170,10,25,1,2023-01-01,
0,346760.1355143329,0.4597938144329896,223,262,15,20,150,5,20,1,2023-01-01,
0,213595.98834947203,0.7027027027027027,130,55,50,40,150,35,5,4,2023-01-01,
0,152438.10167546652,0.7222222222222222,78,30,13,20,180,25,40,4,2023-01-01,
0,162231.97209466028,0.6744186046511628,116,56,37,50,170,40,10,4,2023-01-01,
0,306968.9709124017,0.5787545787545788,158,115,27,40,190,15,30,2,2023-01-01,
0,366211.03493372246,0.6304347826086957,174,102,22,60,160,20,35,2,2023-01-01,
0,331548.01179201686,0.5551948051948052,171,137,27,30,170,10,25,2,2023-01-01,
0,466110.49254530057,0.5483146067415731,244,201,55,20,150,5,20,2,2023-01-01,
0,141553.12936264277,0.5084745762711864,90,87,8,40,150,35,10,1,2023-01-01,
0,127483.33970247587,0.5217391304347826,72,66,5,20,180,30,5,1,2023-01-01,
0,142105.27004857355,0.52,91,84,7,50,170,40,15,1,2023-01-01,
0,316532.106656663,0.6600790513833992,167,86,47,40,190,15,30,3,2023-01-01,
0,370287.1941807087,0.75,192,64,42,60,160,20,35,3,2023-01-01,
0,334369.76047750516,0.5970149253731343,160,108,67,30,170,10,25,3,2023-01-01,
0,479482.55444583215,0.6026666666666667,226,149,125,20,150,5,20,3,2023-01-01,
0,188846.85370814888,0.6395348837209303,110,62,13,40,150,35,10,2,2023-01-01,
0,139903.30987158773,0.5671641791044776,76,58,9,20,180,30,5,2,2023-01-01,
0,139108.3220774796,0.563953488372093,97,75,10,50,170,40,15,2,2023-01-01,
0,240497.52519695848,0.6864406779661016,162,74,64,40,190,15,30,4,2023-01-01,
0,326539.24349834875,0.7739130434782608,178,52,68,60,160,20,35,4,2023-01-01,
0,308953.5460023887,0.6962025316455697,165,72,98,30,170,10,25,4,2023-01-01,
0,466366.18508635694,0.7037037037037037,228,96,176,20,150,5,20,4,2023-01-01,
0,161452.99141620265,0.6729559748427673,107,52,26,40,150,35,10,3,2023-01-01,
0,166601.91847377387,0.6410256410256411,75,42,26,20,180,30,5,3,2023-01-01,
0,154894.12510989557,0.64375,103,57,22,50,170,40,15,3,2023-01-01,
0,186098.6117570784,0.4375,119,153,9,40,190,15,35,1,2023-01-01,
0,319184.14359941054,0.525096525096525,136,123,6,60,160,20,40,1,2023-01-01,
0,197484.3086931585,0.4473684210526316,136,168,14,30,170,10,30,1,2023-01-01,
