,Company Name,Industry,stock
0,360 ONE WAM Ltd.,Financial Services,360ONE.NS
1,3M India Ltd.,Diversified,3MINDIA.NS
2,ABB India Ltd.,Capital Goods,ABB.NS
3,ACC Ltd.,Construction Materials,ACC.NS
4,AIA Engineering Ltd.,Capital Goods,AIAENG.NS
5,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS
6,AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS
7,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS
8,Aarti Industries Ltd.,Chemicals,AARTIIND.NS
9,Aavas Financiers Ltd.,Financial Services,AAVAS.NS
10,Abbott India Ltd.,Healthcare,ABBOTINDIA.NS
11,Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS
12,Adani Green Energy Ltd.,Power,ADANIGREEN.NS
13,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS
14,Adani Power Ltd.,Power,ADANIPOWER.NS
15,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS
16,Adani Transmission Ltd.,Power,ADANIENSOL.NS
17,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS
18,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS
19,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS
20,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS
21,Aether Industries Ltd.,Chemicals,AETHER.NS
22,Affle (India) Ltd.,Information Technology,AFFLE.NS
23,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS
24,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS
25,Alkem Laboratories Ltd.,Healthcare,ALKEM.NS
26,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS
27,Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT.NS
28,Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS
29,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS
30,Angel One Ltd.,Financial Services,ANGELONE.NS
31,Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS
32,Apar Industries Ltd.,Capital Goods,APARINDS.NS
33,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
34,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS
35,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS
36,Archean Chemical Industries Ltd.,Chemicals,ACI.NS
37,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS
38,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS
39,Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
40,Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS
41,Astral Ltd.,Capital Goods,ASTRAL.NS
42,Atul Ltd.,Chemicals,ATUL.NS
43,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS
44,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS
45,Avenue Supermarts Ltd.,Consumer Services,DMART.NS
46,Axis Bank Ltd.,Financial Services,AXISBANK.NS
47,BASF India Ltd.,Chemicals,BASF.NS
48,BEML Ltd.,Capital Goods,BEML.NS
49,BLS International Services Ltd.,Consumer Services,BLS.NS
50,BSE Ltd.,Financial Services,BSE.NS
51,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS
52,Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS
53,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS
54,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS
55,Balaji Amines Ltd.,Chemicals,BALAMINES.NS
56,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS
57,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS
58,Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS
59,Bank of Baroda,Financial Services,BANKBARODA.NS
60,Bank of India,Financial Services,BANKINDIA.NS
61,Bank of Maharashtra,Financial Services,MAHABANK.NS
